poison_quality,poison_roots,verify_rate,verify_policy,worker_p_accept_true,worker_p_accept_false,worker_D,worker_dprime,worker_auroc,planner_p_accept_true,planner_p_accept_false,planner_D,planner_dprime,planner_auroc,aggregation_gain,commit_rate,abstain_rate,mean_latency,rep,planner_D_baseline,planner_D_delta,commit_rate_baseline,commit_rate_delta
0.0,10,0.0,same,0.8453309338132373,0.15786842631473705,0.6874625074985002,2.019868864259803,0.92433152,0.9870259481037924,0.00499001996007984,0.9820359281437125,4.8035076938519055,0.999852,0.2945734206452123,0.993,0.007,0.0,0,0.9820359281437125,0.0,0.993,0.0
0.0,5,0.0,same,0.8453309338132373,0.15386922615476906,0.6914617076584683,2.036590745622345,0.9255984,0.9870259481037924,0.00499001996007984,0.9820359281437125,4.8035076938519055,0.999816,0.2905742204852443,0.99,0.01,0.0,0,0.9820359281437125,0.0,0.993,-0.0030000000000000027
0.0,2,0.0,same,0.8453309338132373,0.16166766646670666,0.6836632673465306,2.004238864152264,0.92115168,0.9870259481037924,0.03093812375249501,0.9560878243512974,4.09416907163128,0.997258,0.27242455700476675,0.96,0.04,0.0,0,0.9820359281437125,-0.02594810379241519,0.993,-0.03300000000000003
0.0,1,0.0,same,0.8453309338132373,0.16166766646670666,0.6836632673465306,2.004238864152264,0.92399544,0.9870259481037924,0.10079840319361277,0.8862275449101796,3.504002992532743,0.967602,0.20256427756364903,0.973,0.027,0.0,0,0.9820359281437125,-0.09580838323353291,0.993,-0.020000000000000018
0.0,10,0.0,different,0.8453309338132373,0.15786842631473705,0.6874625074985002,2.019868864259803,0.92433152,0.9870259481037924,0.00499001996007984,0.9820359281437125,4.8035076938519055,0.999852,0.2945734206452123,0.993,0.007,0.0,0,0.9820359281437125,0.0,0.993,0.0
0.0,5,0.0,different,0.8453309338132373,0.15386922615476906,0.6914617076584683,2.036590745622345,0.9255984,0.9870259481037924,0.00499001996007984,0.9820359281437125,4.8035076938519055,0.999816,0.2905742204852443,0.99,0.01,0.0,0,0.9820359281437125,0.0,0.993,-0.0030000000000000027
0.0,2,0.0,different,0.8453309338132373,0.16166766646670666,0.6836632673465306,2.004238864152264,0.92115168,0.9870259481037924,0.03093812375249501,0.9560878243512974,4.09416907163128,0.997258,0.27242455700476675,0.96,0.04,0.0,0,0.9820359281437125,-0.02594810379241519,0.993,-0.03300000000000003
0.0,1,0.0,different,0.8453309338132373,0.16166766646670666,0.6836632673465306,2.004238864152264,0.92399544,0.9870259481037924,0.10079840319361277,0.8862275449101796,3.504002992532743,0.967602,0.20256427756364903,0.973,0.027,0.0,0,0.9820359281437125,-0.09580838323353291,0.993,-0.020000000000000018
0.0,10,0.0,independent,0.8453309338132373,0.15786842631473705,0.6874625074985002,2.019868864259803,0.92433152,0.9870259481037924,0.00499001996007984,0.9820359281437125,4.8035076938519055,0.999852,0.2945734206452123,0.993,0.007,0.0,0,0.9820359281437125,0.0,0.993,0.0
0.0,5,0.0,independent,0.8453309338132373,0.15386922615476906,0.6914617076584683,2.036590745622345,0.9255984,0.9870259481037924,0.00499001996007984,0.9820359281437125,4.8035076938519055,0.999816,0.2905742204852443,0.99,0.01,0.0,0,0.9820359281437125,0.0,0.993,-0.0030000000000000027
0.0,2,0.0,independent,0.8453309338132373,0.16166766646670666,0.6836632673465306,2.004238864152264,0.92115168,0.9870259481037924,0.03093812375249501,0.9560878243512974,4.09416907163128,0.997258,0.27242455700476675,0.96,0.04,0.0,0,0.9820359281437125,-0.02594810379241519,0.993,-0.03300000000000003
0.0,1,0.0,independent,0.8453309338132373,0.16166766646670666,0.6836632673465306,2.004238864152264,0.92399544,0.9870259481037924,0.10079840319361277,0.8862275449101796,3.504002992532743,0.967602,0.20256427756364903,0.973,0.027,0.0,0,0.9820359281437125,-0.09580838323353291,0.993,-0.020000000000000018
